STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM,,,,,
ARKANSAS,Osceola Police Department ,Municipality,Mississippi County,Task Force Model,2025-08-28 00:00:00,link pending,,,,,,
ARKANSAS,Saline County Sheriff's Office,County,Saline County,Warrant Service Officer,2025-06-12 00:00:00,link pending,,,,,,
ARKANSAS,Sebastian County Sheriff's Office ,County,Sebastian County ,Warrant Service Officer,2025-07-18 00:00:00,link,,,,,,
ARKANSAS,Texarkana Police Department,Municipality,Bowie County,Task Force Model ,2025-07-11 00:00:00,link,,,,,,
ARKANSAS,Washington County Sheriff's Office,County ,Washington County,Warrant Service Officer,2025-07-29 00:00:00,link pending,,,,,,
COLORADO,Teller County Sheriff's Office,County,Teller County,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Alachua Police Department,County,Alachua County,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,Altamonte Springs Police Department,Municipality,Seminole County,Task Force Model,2025-08-28 00:00:00,link pending,,,,,,
FLORIDA,Apopka Police Department,Municipality,#N/A,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,Arcadia Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Atlantic Beach Police Department,Municipality,#N/A,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,Atlantis Police Department,Municipality,#N/A,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,Auburndale Police Department,Municipality,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,Baker County Sheriff's Office,County,Baker County,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
